,class,nIC50,logP,molecular_wt,havy_atom_count,hydrogen_acceptors,hydrogen_donors,rotatable_bonds,amide_bonds,ring_count,tpsa,hba,hbd,qed
0,active,6.721246399047171,2.1081,154.596,10,1,0,2,0,1,17.07,1,0,0.4711758525933405
1,active,6.853871964321762,-1.7562,257.246,18,7,7,5,1,1,148.07,7,7,0.24400755497559506
2,inactive,5.7594507517174005,2.585,167.25799999999998,10,3,1,0,0,2,12.89,3,1,0.5949719307160367
3,active,6.619788758288394,2.6724000000000006,308.34,20,6,2,5,0,2,100.38,6,2,0.8130570172849717
4,active,6.008773924307505,3.1313000000000013,267.357,19,4,0,2,0,3,30.18,4,0,0.7013101010787974
5,inactive,5.966576244513051,-1.6913000000000007,299.312,20,10,5,2,0,3,139.54000000000002,10,5,0.32674353531735956
6,active,6.130768280269024,-0.3774799999999989,381.43300000000005,26,5,0,8,0,3,81.4,5,0,0.3006935885571094
7,inactive,5.764471553092451,-0.2476000000000001,182.222,10,4,4,3,0,0,74.6,4,4,0.45410984832183593
8,inactive,5.449771646944906,-0.05310000000000015,226.232,16,5,5,4,0,1,115.81000000000002,5,5,0.27902660017928355
9,active,7.301029995663981,2.0608,240.44400000000002,12,4,0,0,0,0,6.48,4,0,0.46886077125428943
10,active,6.853871964321762,-1.3344000000000007,293.707,19,7,7,5,1,1,148.07,7,7,0.2625083928013044
11,inactive,5.978810700930062,3.0695000000000014,303.78900000000004,21,3,3,0,0,4,52.49,3,3,0.6556714526258237
12,inactive,5.701146923590294,1.4730999999999999,334.37200000000007,24,5,3,2,0,3,101.31000000000002,5,3,0.7040844138485017
13,inactive,5.343901797987168,2.6492000000000013,361.6120000000001,22,4,0,2,2,3,49.85,4,0,0.7600162623675156
14,inactive,5.647817481888637,6.989600000000007,444.39699999999993,24,1,1,15,0,1,37.3,1,1,0.2338742804794036
15,active,7.301029995663981,0.6087000000000002,127.16799999999999,8,2,1,0,0,1,26.939999999999998,2,1,0.3083405758153014
16,active,6.5376020021010435,-0.17790000000000017,183.163,13,4,0,3,2,1,63.68,4,0,0.44952098135178675
17,inactive,5.87942606879415,1.4084999999999999,253.32299999999995,17,4,1,2,0,2,41.93000000000001,4,1,0.8071441548633952
18,active,6.1249387366083,1.4504,357.14300000000003,18,5,1,3,0,2,100.04,5,1,0.6620875608591409
19,active,6.376750709602099,-0.6611,199.988,9,4,2,3,0,0,83.60000000000001,4,2,0.2738439535871248
20,active,6.823908740944319,4.686100000000005,415.4590000000002,30,4,1,4,0,4,39.6,4,1,0.6714186708772022
21,active,6.6777807052660805,1.4588999999999999,164.29899999999995,9,2,2,0,0,1,38.24,2,2,0.42033229895502594
22,active,6.619788758288394,3.282000000000002,284.314,22,2,0,0,0,6,34.14,2,0,0.6956942950633703
23,active,6.013228265733755,2.29474,346.4120000000001,24,6,1,5,0,3,95.98,6,1,0.7121962157460895
24,inactive,5.906578314837765,3.2085000000000017,182.22199999999998,14,1,0,2,0,2,17.07,1,0,0.5145232399883984
25,active,6.113509274827518,4.2257000000000025,264.4189999999999,17,4,1,3,0,3,24.92,4,1,0.8399410248536084
26,inactive,5.498940737782249,1.8457399999999997,302.35900000000004,21,5,1,3,2,3,78.95,5,1,0.8753082354999083
27,active,6.2839966563652006,3.271700000000003,303.78899999999993,21,3,2,0,0,4,43.7,3,2,0.7341888957437872
28,active,6.657577319177793,1.6935999999999998,318.237,23,8,6,1,0,3,151.59,8,6,0.3707504645634647
29,inactive,5.627087997029894,3.600500000000003,324.44400000000013,24,2,0,4,0,3,26.3,2,0,0.63436354019487
30,active,7.698970004336019,3.8081400000000025,273.332,19,3,0,1,0,3,22.0,3,0,0.6605719058729725
31,active,6.6777807052660805,3.3045100000000014,226.351,13,5,0,1,0,2,25.78,5,0,0.5509158141740411
32,inactive,5.684029654543083,0.9249999999999997,342.40700000000015,25,9,3,5,0,4,119.71000000000001,9,3,0.6261112398862771
